Trimestre;arrondissement;prix_m2
T3 2023;9;10460
T2 2023;9;10600
T1 2023;9;10850
T4 2022;9;10960
T3 2022;9;10940
T2 2022;9;10880
T1 2022;9;10870
T4 2021;9;10780
T3 2021;9;11190
T2 2021;9;10880
T1 2021;9;10980
T4 2020;9;11260
T3 2020;9;10960
T2 2020;9;10800
T1 2020;9;10780
T4 2019;9;10790
T3 2019;9;10680
T2 2019;9;10280
T1 2019;9;9910
T4 2018;9;9710
T3 2018;9;10150
T2 2018;9;10020
T1 2018;9;9580
T4 2017;9;9560
T3 2017;9;9450
T2 2017;9;9260
T1 2017;9;8910
T4 2016;9;8600
T3 2016;9;8750
T2 2016;9;8430
T1 2016;9;8270
T4 2015;9;8300
T3 2015;9;8500
T2 2015;9;8230
T1 2015;9;8340
T4 2014;9;8450
T3 2014;9;8370
T2 2014;9;8640
T1 2014;9;8260
T4 2013;9;8290
T3 2013;9;8650
T2 2013;9;8410
T1 2013;9;8390
T4 2012;9;8300
T3 2012;9;8680
T2 2012;9;8460
T1 2012;9;8420
T4 2011;9;8750
T3 2011;9;8630
T2 2011;9;8230
T1 2011;9;7670
T4 2010;9;7430
T3 2010;9;6920
T2 2010;9;6640
T1 2010;9;6410
T4 2009;9;6110
T3 2009;9;6100
T2 2009;9;6120
T1 2009;9;6400
T4 2008;9;6480
T3 2008;9;6440
T2 2008;9;6390
T1 2008;9;6320
T4 2007;9;6190
T3 2007;9;6040
T2 2007;9;5930
T1 2007;9;5710
T4 2006;9;5550
T3 2006;9;5630
T2 2006;9;5300
T1 2006;9;5170
T4 2005;9;5110
T3 2005;9;4980
T2 2005;9;4770
T1 2005;9;4620
T4 2004;9;4330
T3 2004;9;4400
T2 2004;9;4170
T1 2004;9;3920
T4 2003;9;3760
T3 2003;9;3820
T2 2003;9;3670
T1 2003;9;3610
T4 2002;9;3460
T3 2002;9;3440
T2 2002;9;3280
T1 2002;9;3230
T4 2001;9;3170
T3 2001;9;3220
T2 2001;9;3130
T1 2001;9;3040
T4 2000;9;2880
T3 2000;9;2900
T2 2000;9;2700
T1 2000;9;2520
T4 1999;9;2620
T3 1999;9;2450
T2 1999;9;2400
T1 1999;9;2290
T4 1998;9;2280
T3 1998;9;2210
T2 1998;9;2190
T1 1998;9;2160
T4 1997;9;2120
T3 1997;9;2120
T2 1997;9;2060
